frame,X,Y,Z
56,-0.4469851,0.19575816,0.76870054
57,-0.38217816,0.14432533,0.6674467
58,-0.33985683,0.10495196,0.60582995
59,-0.3189786,0.07465361,0.5897784
60,-0.310232,0.045336876,0.59928024
61,-0.30024588,0.05055438,0.596155
62,-0.29393885,0.07632301,0.59296703
63,-0.28768384,0.099473365,0.589778
64,-0.28226367,0.12014466,0.58971965
65,-0.2761624,0.13688512,0.586704
66,-0.26655927,0.15006591,0.5775257
67,-0.26192233,0.16341193,0.5805157
68,-0.25726306,0.17478177,0.58360475
69,-0.2502384,0.18146889,0.5805157
70,-0.24421939,0.18713382,0.5805157
71,-0.23784634,0.19032033,0.5805156
72,-0.23269142,0.19238965,0.58357054
73,-0.2262848,0.19096594,0.5835705
74,-0.22028169,0.18799584,0.58651865
75,-0.21271753,0.1802457,0.58343244
76,-0.20672916,0.17265464,0.5866573
77,-0.20099418,0.16314135,0.5897773
78,-0.19518146,0.15224516,0.5928702
79,-0.18964118,0.138928,0.59937704
80,-0.18232994,0.12138102,0.599377
81,-0.17538425,0.102371804,0.59937686
82,-0.17027938,0.0827954,0.6059272
83,-0.16597867,0.060880892,0.6160256
84,-0.15958317,0.034766342,0.61598486
85,-0.15422612,0.062039096,0.61262226
86,-0.14854066,0.08045816,0.60921675
87,-0.14371748,0.09737061,0.6092564
88,-0.13812794,0.11125127,0.6059272
89,-0.1329436,0.12505655,0.6092695
90,-0.12704323,0.134721,0.60594016
91,-0.121207,0.14207506,0.60264707
92,-0.11532437,0.1474015,0.60263425
93,-0.1094436,0.1503419,0.60263425
94,-0.10375917,0.15153296,0.6059273
95,-0.097476706,0.14931561,0.60592717
96,-0.09206687,0.14530537,0.6092564
97,-0.086220205,0.13843945,0.61258215
98,-0.08024539,0.12854703,0.61262226
99,-0.074679725,0.11686253,0.61602557
100,-0.069051884,0.102024965,0.6194669
101,-0.06371877,0.08636607,0.6264663
102,-0.058317542,0.0670692,0.6300401
103,-0.052768536,0.038493868,0.637267
104,-0.04771582,0.058704764,0.637267
105,-0.042416334,0.0759264,0.6334051
106,-0.037182994,0.0899308,0.6300256
107,-0.03159871,0.10242463,0.6336256
108,-0.026423696,0.11125948,0.6300401
109,-0.021164263,0.11885151,0.63364035
110,-0.01604859,0.122403115,0.63004005
111,-0.010730402,0.124838755,0.63362575
112,-0.0053500147,0.12458741,0.63728195
113,-0.00029795314,0.12128081,0.6372671
114,0.005234598,0.11767667,0.6484623
115,0.010375031,0.10917085,0.64844686
116,0.015206304,0.09886592,0.65221393
117,0.020503366,0.08625458,0.65613645
118,0.025454694,0.07167018,0.6600258
119,0.03005694,0.053669572,0.6639285
120,0.03492294,0.060559414,0.6639944
121,0.040020417,0.075792864,0.66797763
122,0.044237293,0.08688259,0.6639943
123,0.049390655,0.09657035,0.6679777
124,0.053872075,0.10349618,0.6679777
125,0.058355775,0.10818398,0.6679943
126,0.06321814,0.11088904,0.6720427
127,0.06772683,0.11047916,0.6720428
128,0.07267598,0.10826616,0.67614055
129,0.07810076,0.10312162,0.6802887
130,0.08274566,0.094981566,0.6844179
131,0.08650251,0.08371099,0.6844179
132,0.091387406,0.07080992,0.6929718
133,0.09495274,0.050420642,0.6974029
134,0.09792671,0.06849613,0.69738454
135,0.100904085,0.08040557,0.6973846
136,0.10411087,0.08990306,0.70179826
137,0.10558644,0.09593287,0.69740283
138,0.108391166,0.10017575,0.7017983
139,0.11123916,0.10189338,0.70628697
140,0.11295833,0.10124454,0.7062682
141,0.11468135,0.097798504,0.70626825
142,0.1179063,0.092952,0.715381
143,0.119989336,0.08477264,0.7200262
144,0.12165757,0.0747183,0.72473204
145,0.12246226,0.05674707,0.7295201
146,0.124242,0.07320972,0.7295201
147,0.12640844,0.08310009,0.73435134
148,0.1277476,0.0895919,0.73433083
149,0.12735656,0.09278692,0.7295201
150,0.1290912,0.09451848,0.7343309
151,0.13038878,0.094013505,0.7391638
152,0.13085349,0.09018915,0.7392262
153,0.13173166,0.084893964,0.7441873
154,0.13216476,0.076328576,0.74921536
155,0.13396047,0.06231442,0.75941163
156,0.13260855,0.078920335,0.7543337
157,0.13304876,0.08617509,0.7594783
158,0.13122834,0.08996202,0.7543337
159,0.13119592,0.093123205,0.7594783
160,0.13068698,0.09305761,0.7646484
161,0.12973052,0.09112904,0.77002615
162,0.1287314,0.08584702,0.77534103
163,0.1254355,0.07001173,0.7754107
164,0.124816485,0.069565855,0.786409
165,0.08656832,0.050357185,0.6067926
166,0.12098415,0.09043265,0.786433
167,0.11942825,0.093249574,0.79202604
168,0.11604682,0.09276651,0.79202604
169,0.11347592,0.0910012,0.79772377
170,0.11038222,0.08700776,0.8035294
171,0.10772787,0.07406508,0.80936885
172,0.10351685,0.072058216,0.8035041
173,0.09998534,0.07494196,0.8028969
174,0.0951899,0.046821628,0.8035294
175,0.07057908,0.05522493,0.6679006
176,0.0876782,0.07518178,0.7976488
177,0.083801,0.07227188,0.7977486
178,0.08047322,0.07033634,0.8034279
179,0.07601621,0.073731534,0.7977486
180,0.07062113,0.075083934,0.78643304
181,0.06774169,0.07591862,0.7977236
182,0.06291332,0.073204875,0.79205036
183,0.059892643,0.07131634,0.8034276
184,0.05383347,0.06884851,0.78643304
185,0.051199537,0.07299942,0.7977236
186,0.046478808,0.07319576,0.79195166
187,0.042928457,0.07251288,0.7977235
188,0.03827431,0.06957965,0.79202574
189,0.033669487,0.069548644,0.7862141
190,0.030056335,0.071746714,0.7919516
191,0.025714783,0.07102883,0.7920257
192,0.02200926,0.069839135,0.79774857
193,0.018246492,0.070588015,0.8035039
194,0.013150854,0.07078067,0.7919515
195,0.009346738,0.07054897,0.79752237
196,0.005465349,0.06910714,0.7977234
197,0.000108717584,0.069319576,0.7863356
198,-0.0042487294,0.069788486,0.79165435
199,-0.008157598,0.06910714,0.7977235
200,-0.012629268,0.070336275,0.80342704
201,-0.01740174,0.06959367,0.7977234
202,-0.021121033,0.07055528,0.80874515
203,-0.025673589,0.069830336,0.79764795
204,-0.030051501,0.068866044,0.7977487
205,-0.034439348,0.06986242,0.8092906
206,-0.038110327,0.07009795,0.8035038
207,-0.042215228,0.06935259,0.79774857
208,-0.046107236,0.069593675,0.7977234
209,-0.05036181,0.07009795,0.8035039
210,-0.054282933,0.070345215,0.8035294
211,-0.05722041,0.07082629,0.80342716
212,-0.06114311,0.07009795,0.8035039
213,-0.06457353,0.07009795,0.8035039
214,-0.067514725,0.069593675,0.7977234
215,-0.071434356,0.07009795,0.8035038
216,-0.074864775,0.07009796,0.8035039
217,-0.07878668,0.069855146,0.8035294
218,-0.08172712,0.069855146,0.80352944
219,-0.08515765,0.070345215,0.8035293
220,-0.08795085,0.06983914,0.7977487
221,-0.09201132,0.0703363,0.80342734
222,-0.09543165,0.070080176,0.80329984
223,-0.098166354,0.07008021,0.79772353
224,-0.10229075,0.07057013,0.8033001
225,-0.10524846,0.07107808,0.80350393
226,-0.10947454,0.07085869,0.8093946
227,-0.11126632,0.068831466,0.79734766
228,-0.1150291,0.070570156,0.8033003
229,-0.117619835,0.069343895,0.79764843
230,-0.12053876,0.0688574,0.79764843
231,-0.12346612,0.06959368,0.79772353
232,-0.12681401,0.069855146,0.8035294
233,-0.12930752,0.06935259,0.79774857
234,-0.13269491,0.06985514,0.8035293
235,-0.13465956,0.06935259,0.7977486
236,-0.13658342,0.0698147,0.7919521
237,-0.14053275,0.07009797,0.80350405
238,-0.14298303,0.07009797,0.80350405
239,-0.14543685,0.069855146,0.8035294
240,-0.1478549,0.06959037,0.8033012
241,-0.15033394,0.06960791,0.80350405
242,-0.15165569,0.06957631,0.7975243
